word,translation
abdringen,"to obtain by force (e.g. land, money, promises)"
abdrosseln,to throttle
Abdrosselung,"throttling, choking"
Abdruck,"imprint, impression (the mark left behind by pressing on or printing something)"
abdrucken,"to publish by printing in a newspaper, journal"
abdrängen,to push away
abdrücken,"to fire, to shoot (a weapon etc.)"
Abduktion,abduction (movement separating limb from axis)
Abduktor,abductor (muscle)
abduzieren,to abduct
abdämpfen,to dampen
Abecedarier,Abecedarian
Abecedarium,abecedarium
Abeillekolibri,"the emerald-chinned hummingbird, Abeillia abeillei"
abeisen,to defrost
Abellait,abellaite
abelsch,abelian
Abelsonit,abelsonite
abend,Formerly standard spelling of Abend which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Abendandacht,evening prayer
Abendanzug,dinner suit
Abendappell,evening roll call
Abendausgabe,evening edition
Abendblatt,evening paper
Abendbrot,"supper, dinner (evening meal), typically consisting of bread, sliced meat, cheese, and pickles"
Abenddämmerung,dusk (a period of time occurring at the end of the day during which the sun sets)
abendessen,"to sup, to have supper (the evening meal)"
abendfüllend,all-night
Abendgebet,evening prayer
Abendgrauen,"dusk, nightfall"
Abendkasse,ticket office (“office where tickets may be purchased immediately before the performance”)
Abendkleid,evening dress
Abendland,The Western world
abendlich,evening
Abendlied,evening song
Abendluft,evening air
abendländisch,occidental
Abendläuten,"evening bell, curfew"
Abendmahl,Last Supper (Biblical event)
Abendmahlsfeier,a mass on Maundy Thursday in remembrance of the biblical Last Supper
Abendmahlsgemeinschaft,interdenominational Holy Communion (sacrament)
Abendmahlsgottesdienst,Holy Communion (sacrament)
Abendmahlzeit,evening meal
Abendrot,Red color of the (western) sky around the time of sunset
Abendroth,a German surname from Old High German
Abendrunde,synonym of Abendspaziergang
abends,"in the evening, at night, see Abend"
Abendschule,night school
Abendschüler,night school student
Abendsegler,noctule
Abendsonne,"evening sun, setting sun"
Abendsonnenschein,evening sun
Abendspaziergang,evening walk
Abendstern,evening star
Abendstimmung,evening mood
Abendstunde,evening hour
Abendvorstellung,"evening performance, evening show"
Abendwind,evening wind
abendwärts,westwards
Abendzeitung,evening newspaper
Abenomics,Abenomics
Abenteuer,adventure
abenteuerdurstig,adventurous
Abenteuerfilm,adventure film
abenteuerhungrig,adventurous
Abenteuerin,"An adventuress, female adventurer"
abenteuerlich,adventurous (relating to adventures)
Abenteuerlichkeit,adventurousness
Abenteuerlust,"adventuresomeness, love for adventure, spirit of adventure"
abenteuerlustig,adventurous
Abenteuerreise,adventure tourism
Abenteuerroman,adventure novel
Abenteuerspielplatz,adventure playground
abenteuersüchtig,adventurous
Abenteurer,adventurer
Abenteurerin,"An adventuress, female adventurer"
aber,but
aber hallo,"absolutely!, you bet!, for sure!"
"aber, aber","now, now (mild reproach)"
Aberglaube,superstition
Aberglauben,superstition
abergläubig,synonym of abergläubisch
Abergläubigkeit,Tendency to believe in non-scientific or supernatural forces and events.
abergläubisch,superstitious
aberhundert,hundredfold
aberkennen,"to revoke, to strip someone of something (e.g. a right, a title, an award)"
Aberkennung,deprivation
abermalig,repeated
abermals,anew
abernten,"to harvest, to reap (a field, etc.)"
aberrant,aberrant
Aberration,aberration (deviation)
aberrieren,to aberrate
abertausend,thousandfold
Aberwitz,"ludicrousness, false wit, craziness"
aberwitzig,ludicrous
aberziehen,"to break someone of something, to teach someone to stop doing something"
abessen,"to finish eating, to clear the plate"
Abessinien,Abyssinia (former name of Ethiopia: a country and former empire in East Africa
Abessinier,Abyssinian
abessinisch,Abyssinian
Abessiv,abessive
abfackeln,to burn off
abfahrbereit,ready to leave / depart
abfahren,"to depart, to leave"
Abfahrt,departure (of a land or water vehicle)
abfahrtbereit,synonym of abfahrbereit
Abfahrtshalle,departure room of a train station
Abfahrtsliste,sailing list
Abfahrtstafel,departure display departure board
Abfahrtszeit,"time of departure, departure time (of train, bus, ship etc.)"
Abfall,"waste, garbage, rubbish, litter"
